,advGAN
216,76.48796754841574
217,129.53344012020602
218,67.55430396632771
219,81.92590855271304
220,40.060868299942186
221,128.17169118754344
222,55.945953446440164
223,64.99108262148354
224,129.59822228236774
225,130.20155649031236
226,58.3825150743461
227,68.44212669862948
228,129.58637623704894
229,118.95200745731448
230,101.72090051490156
231,85.0944242307112
232,110.29953004489639
233,123.97589467689879
234,61.87850368868013
235,114.43313071942933
236,88.27590691795525
237,127.08800623239394
238,53.01767191377088
239,59.36930893778367
240,124.14137920633071
241,67.94790628672821
242,73.39426586402203
243,49.75415144425136
244,55.594268196011
245,52.18886600008665
246,126.89942806707208
247,62.53231195999793
248,129.60353456551638
249,103.92249872952199
250,122.14487747650328
251,56.36404021445655
252,63.99624432034567
253,65.89280179295004
254,59.287478669219226
255,51.06110386708262
256,103.70735663545041
257,122.47370971074771
258,52.41118324276079
259,105.82417426739035
260,129.54068497001242
261,117.45205970150118
262,127.30217496178139
263,43.871879618829446
264,95.21825258321012
265,51.15458677427543
266,127.16643329830596
267,80.63529488536642
268,42.072592353499566
269,124.44945557208155
270,78.11680582027468
271,103.93994284561639
272,94.20631655109439
273,62.30500048902576
274,61.19592239658415
275,91.44971722892313
276,75.75149544728474
277,78.4315890452071
278,61.070363970331385
279,128.12843745388844
280,125.49723369087663
281,65.56974236094915
282,103.31290173091887
283,62.07295512389031
284,123.74451929151246
285,54.582998368883146
286,85.29768644283384
287,115.24343290671708
288,116.06985369810715
289,108.30546266088105
290,85.7586007211886
291,43.06973644295522
292,122.90458538791383
293,86.48270521197432
294,59.58173097532183
295,81.53941244116247
296,107.08125656627541
297,59.17784495894029
298,104.95571052532111
299,81.53406772152822
300,127.29529369491631
301,52.747445139551544
302,54.54667135095184
303,51.7853611826016
304,128.8426244493646
305,73.55727931240898
306,121.3216202779826
307,53.05187522457383
308,127.84382256781123
309,125.14261395753647
310,47.45148118242728
311,125.92488305285417
312,74.03560627221033
313,53.39066615450565
314,95.33123279026921
315,99.69823609899024
316,106.72753898654742
317,122.30223992480677
318,50.34001819269263
319,65.51226552023483
320,62.19329236528948
321,53.83837665440192
322,121.26900624232063
323,128.32709670993106
324,69.78319872446913
325,120.71614513109877
326,129.86791667401923
327,47.27570398735486
328,52.09993355247082
329,57.3627097403008
330,65.01255888288047
331,68.67869526711868
332,128.24494385744805
333,49.23696587518112
334,58.04929545761085
335,125.9305751818239
336,53.43165629597542
337,128.57665059459669
338,53.85433868242999
339,102.24842889226954
340,62.603406644027764
341,126.28009774282525
342,120.98387353796373
343,108.72105397817388
344,59.52897387380997
345,121.05256961078935
346,110.47893782583628
347,43.99735043957903
348,71.37181541166127
349,94.79429311837553
350,54.93163364583289
351,89.55536324496428
352,56.53230374916186
353,87.89062916666657
354,64.25806278446697
355,56.236730205611615
356,104.82213357635877
357,51.74330044194127
358,86.06008586392562
359,80.5417387426389
360,70.44667059866988
361,50.88579862744737
362,58.08683432814724
363,130.87990230789828
364,118.09189350882642
365,116.4399783351384
366,107.94894445697466
367,85.07864296215149
368,53.84803242183622
369,59.17341189910592
370,71.04698668069076
371,127.48872499166347
372,46.28822849987078
373,126.47559902383345
374,71.03344970197139
375,102.57470124712769
376,72.30746255141996
377,64.23184553217158
378,128.2460403872182
379,122.63368024833146
380,127.25668803028586
381,43.66605227283261
382,130.09859542381693
383,117.6145718012866
384,102.0275506603486
385,90.39089104325585
386,85.05716999741263
387,128.2638500684234
388,87.70393644956879
389,127.58097918577047
390,47.32190347849635
391,126.96087764789986
392,74.40237810169444
393,46.86622313664448
394,54.93406470345836
395,56.75814317264308
396,50.36459356687245
397,96.28187378084205
398,127.38355206202056
399,112.1193995953644
400,122.2906094680311
401,59.638238424871965
402,59.84115733613551
403,92.60580941550049
404,50.46856133865666
405,60.97483631845599
406,60.29519060228291
407,120.95410496470345
408,126.11352075486396
409,92.87910068336149
410,61.57316294077518
411,47.57144093032604
412,90.2061495357301
413,126.95796240783797
414,105.28375442257224
415,118.01943033882175
416,52.29720178415978
417,57.71156729807292
418,108.02544640182006
419,62.476280655391534
420,130.00345548292168
421,56.1178525863762
422,128.1835917858639
423,91.6019059828315
424,58.96340065826852
425,65.92448405301516
426,113.50355772920733
427,50.98614193996124
428,46.38806988163821
429,121.13813299545689
430,52.70161945670527
431,107.0089392804989
432,104.74500286409848
433,110.77842027415583
434,94.83893624522051
435,105.76290922979568
436,45.22021718205462
437,59.01170931211449
438,129.84955988806817
439,129.91834124027676
440,58.38166826541637
441,96.84757676369605
442,48.495887188696216
443,87.99376864478813
444,44.85508349813876
445,87.17680826021046
446,73.64049404560815
447,129.26019211507077
448,109.22228177408445
449,53.47826478755177
450,94.46464595782646
451,92.20214925979221
452,88.97154346685798
453,124.25152476428609
454,129.66926076561091
455,75.06511821516203
456,54.78774072001076
457,56.7484878136909
458,53.572754633885495
459,99.25899282306868
460,122.12834245681876
461,89.84931504503804
462,101.39884892098135
463,51.39324731071802
464,115.84398182469386
465,119.59971078690994
466,126.62946916471498
467,125.43973045475863
468,96.30103659066968
469,88.07779930532296
470,47.259007801258115
471,59.471026378528435
472,53.91934849919948
473,123.08279733577719
474,108.80562514180964
475,89.21388723613185
476,57.92529958516615
477,64.90755896609808
478,58.71654840537398
479,89.80046511659197
480,127.19763473135025
481,79.23179441419808
482,62.567494805609726
483,99.06383575597857
484,118.07978218534069
485,89.48954089550074
486,107.05148987461594
487,53.66948229746701
488,89.03085238152698
